Group,Group Id
Americans for Justice,156
People's Liberation Army (Mexico),157
Corsican National Liberation Front (FLNC),158
Secret Organization Zero,159
Justice Guerrillas,160
National Liberation Front of Chad,161
RVA,162
People's Revolutionary Army (ERP) (El Salvador),163
Democratic Front for the Liberation of Palestine (DFLP),164
Black Order,165
Revolutionary Arab Youth Organization,166
Organization of the Sons of Occupied Territories,167
Krause Group,168
Popular Resistance Sabotage Group,169
Jewish Extremists,170
Fuerzas Armadas de Liberacion Nacional (FALN),171
Anti-Government extremists,172
M-7,173
Arab Communist Organization,174
Korean Youth League,175
Condor,176
M12J,177
Argentine Anticommunist Alliance (AAA),178
Protestant Action Group,179
Red Flag,180
Cuban C-4 Movement,181
United Popular Liberation Army of America,182
Maruseido (Marxist Youth League),183
Revolutionary Vanguard,184
Latin America Anti-Communist Army (LAACA),185
Youth Action Group,186
Raul Sendic International Brigade,187
First of October Antifascist Resistance Group (GRAPO),188
Ananda Marga,189
Armenian Secret Army for the Liberation of Armenia,190
Maskini Liberation Front,191
Omega-7,192
Continental Revolutionary Army,193
National Socialist Liberation Front,194
International Revolutionary Solidarity,195
Prisoner  Gourgen Yanikian Group,196
National Awami Party,197
New Order- France,198
Movement for Cuban Justice (Pragmatistas),199
Irish National Liberation Army (INLA),200
East Asia Anti Japanese Armed Front,201
National Organization of Cypriot Fighters (EOKA),202
Canary Islands Independence Movement,203
Revolutionary Armed Forces of Colombia (FARC),204
Sixth of March Group,205
Mahir Cayan Suicide Group,206
Front for the Liberation of the French Somali Coast,207
Red Guerilla Family,208
Charles Martel Group,209
Phalange,210
People's Liberation Army (Northern Ireland),211
Meinhof-Puig-Antich Group,212
The Scorpion,213
People's Revolutionary Party (Tanzania),214
Nationalist Intervention Group,215
George Jackson Brigade,216
Anti-Terrorism ETA (ATE),217
Movement of the Revolutionary Left (MIR) (Peru),218
Tribal Thumb,219
Okinawa Liberation League,220
Moro National Liberation Front (MNLF),221
Liberation Tigers of Tamil Eelam (LTTE),222
Fronte Paesanu Corsu di Liberazione (FPCL),223
South-West Africa People's Organization (SWAPO),224
Soldiers of the Algerian Opposition,225
Communist Party of Malaysia- Marxist-Leninist,226
Republican Action Force,227
Supporters of Charles Manson,228
Revolutionary Internationalist Solidarity,229
Army for Freeing Scotland,230
Military Liberation Front of Colombia,231
United Freedom Front (UFF),232
Armed Nucleus for Popular Autonomy,233
Commando 27 September,234
Youth of the Star,235
Justice Commandos for the Armenian Genocide,236
Guerrilla Army of the Poor (EGP),237
Portuguese Liberation Army,238
League of the 18,239
Polisario Front,240
Coup plotters,241
M-19 (Movement of April 19),242
Revolutionary Command,243
United Liberation Front for the New Algeria,244
Revolutionary People's Struggle (ELA),245
Coordination of the United Revolutionary Organization (CORU),246
Armed Communist Struggle,247
Cuban extremists,248
Armed Communist Formations,249
Portuguese Anti-Communist Movement,250
Continuous Struggle,251
Tigray Peoples Liberation Front (TPLF),252
Combat Territory Groups,253
Fred Hampton Unit of the People's Forces,254
Save Our Israel Land,255
Muslim Rebels,256
Commando Heinz Neumann,257
Proletarian Resistance Movement,258
Communist Combat Unit,259
Socialist Labor Party of Lebanon,260
Political Military Organization of Paraguay,261
Armed Forces of National Resistance (FARN),262
Revolutionary Workers Party of Bolivia (PRTB),263
Italian Social Movement (MSI),264
Movement of the Revolutionary Left (MIR) (Chile),265
Roberto Santucho Revolutionary Group,266
Che Guevara Brigade,267
Cypriot,268
Prolitarian Internationalism,269
Anti-Castro Command,270
Brazilian Anti-Communist Alliance (AAB),271
Union Guerrera Blanca (UGB),272
Croatian Freedom Fighters,273
Anti-Zionist Commandos,274
Abu Nidal Organization (ANO),275
Cuban Secret Army,276
Rezi Rezai International Brigades,277
Commandos Against Self Destruction of the Universe,278
Workers Power,279
Communist Fighting Unit,280
Prima Linea,281
African National Congress (South Africa),282
Independent Armed Revolutionary Commandos (CRIA),283
May 19 Communist Order,284
Communist Brigade Dante Dimani,285
Waltraud Boock Group,286
November 17 Revolutionary Organization (N17RO),287
Communists,288
Organization of Anti-Fascist Students,289
Kurdish Democratic Party-Iraq (KDP),290
Military Council for the True Liberation of Albania,291
AGEL,292
Tribal Battlefront,293
Basque Rectitudes,294
Armed Proletarian Power,295
Lolita Lebron Puerto Rican Liberation Command,296
New Partisans Movement,297
Front for the Liberation of the Enclave of Cabinda (FLEC),298
Anti-Government Group,299
Arya,300
Revolutionary Workers Party,301
Falangist Security Group,302
New Order,303
Armed Struggle for Communism,304
Communist Brigades,305
Armed Squads for Communism,306
Anti-Abortion extremists,307
African-American extremists,308
Hanafi Muslims,309
Combat Brigades,310
Front For the Liberation of the Azores,311
Somali Guerrillas,312
Marxist-Leninist Armed Propaganda Unit,313
Revolutionary Action,314
Soviet and Cuban-backed rebels/mercenaries,315
Falange,316
Revolutionary Commandos of Solidarity,317
Action Front for the Liberation of the Baltic Countries,318
Committee for the Defense of Italian Workers in France,319
People's Liberation Forces (FPL),320
Rote Zora,321
Environmental Life Force,322
Fighters for Communism,323
Luis Boitel Commandos,324
28 May Armenian Organization,325
Kentavros,326
Sanidila Secessionist Movement,327
Communist Fighters Group,328
Armed Brigades,329
Gay Liberation Front,330
Communist Progress,331
Solidarist Resistance Movement,332
Pattani United Liberation Organization (PULO),333
Red Guerrilla,334
Fighting Workers for Communism,335
Armed Communist Nucleus,336
Combatent Communists,337
Communist Fighting Nuclei,338
Armed Radical Groups for Communism,339
Armed Groups for Communism,340
Worker Counterpower,341
Proletarian Patrols,342
Pedro Leon Arboleda (PLA),343
Armed Proletarian Groups for Communism,344
Vyborg Brigade,345
Avengers of Peiper Group,346
Territorial Communist Units,347
Proletarian Fighting Brigades,348
Union of the People (UDP),349
Revolutionary Action Front,350
Tonino Micciche Workers Nucleus,351
Organized Proletarian Communists,352
Nucleus of the Armed Struggle,353
Commando Adolph Hitler,354
Universal Liberation Front,355
Young Brigade of Navarro,356
Revolutionary Commandos of the People (CRP),357
Red Army Faction (RAF),358
Armed Fighting Nucleus For Communism,359
Armed Struggle for Proletarian Power,360
Armed Communist Commando,361
Fighting Nucleus for Communism,362
Communist Armed Nucleus,363
Universal Proutist Revolutionary Federation,364
Fighting Communist Front,365
Breton Separatists,366
Combat Nucleus of Communist Unity,367
Fighting Proletarian Squads,368
Afar rebels,369
Free Aceh Movement (GAM),370
Greek National Socialist Organization,371
Delta Group,372
Armed Workers Squads,373
Armed Nucleus of Communist Workers,374
Proletarian Armed Squads,375
Armed Proletarian Patrols,376
Radical Communist Armed Nucleus,377
Armed Commandos in the Fighting Army of Mario Zichieri,378
Guerrillas of Christ the King,379
Confederation of Iranian Students/National Union (CISNU),380
Armed Fight for Communism,381
Khristos Kasimis,382
Communist Fighting Corunim- Maria Anna Maria,383
"Worker Autonomy, Continuous Struggle",384
Fanatical Ecologists,385
Popular Revolutionary Movement (Colombia),386
Fighting Popular Rally,387
PORE,388
Christ Chaos,389
Committee of action against bull fights,390
28th of December Group,391
Armed Revolutionary Groups,392
Arab Revolutionary Army,393
International Communist Brigade,394
Armed Revolutionary Nuclei (NAR),395
Armed Nuclei for Territorial Counterpower,396
Southern Nucleus of Communist Counterpower,397
Iberian Anarchist Federation,398
Anti Shah of Iran,399
Breton Terrorist,400
Zimbabwe African Nationalist Union (ZANU),401
Anti-Imperialist Fighters for a Free Palestine,402
Catalan independence group,403
Begumcans Cell,404
Argentine Youths for Sovereignty,405
Revolutionary Workers' Council (Kakurokyo),406
Popular Revolutionary Bloc (BPR),407
Revolutionary Communist Party,408
Jewish Committee of Concern,409
Anti-Castro Group,410
Communist Fighters Association,411
Armed Proletarian Squads,412
Anti-Israeli extremists,413
Aryan Brotherhood,414
Autonomous Students,415
Anti-Imperialistic Communist Revolutionaries,416
Communist Fighting Detachments,417
Fuerza Nueva,418
Armed Workers Nuclei,419
Armed Womens Nuclei,420
Armed Proletarian Group,421
Armed Fight for Workers Power,422
Fighting Women,423
Armed Nuclei for Communism,424
Commandos for the Defense of Western Civilization,425
Proletarian Nucleus,426
Marxist Resistance Movement,427
Trinitarians,428
Airport Protesters,429
Column 88,430
Independent Peasants Union,431
Red Tribune,432
Syndicalist Action Groups,433
Front for the National Liberation of Puerto Rico,434
Red Flying Squad,435
Communist Anti-Imperialistic Revolutionaries,436
Abstentionist Brigades,437
Falangist Vanguard,438
Unified Workers Command,439
Chukakuha (Middle Core Faction),440
Left-Wing Terrorists,441
Armed Proletarian Formations,442
Irian Jaya Rebels,443
Supporters of presidential candidate Belisario Bet,444
Revolutionary Army,445
Anti-Technology extremists,446
Action Group for Communism,447
Front of French National Liberation,448
Zimbabwe African People's Union,449
Revolutionary Anarchist Armed Terrorist Movement,450
Death Squad,451
AFB,452
Anti-Imperialist Students Council,453
Brigadas Rojas,454
Ahmad Jibril,455
Shining Path (SL),456
Macheteros,457
Khmer Rouge,458
Peruvian Anti-Communist Alliance (AAP),459
Zimbabwe Guerrillas,460
Mano Blanca,461
Zimbabwe People's Army (ZIPA),462
Broad Commando of National Liberation,463
Guatemalan Labor Party (PGT),464
Otpor,465
International Anti-Communist Intelligence Service,466
Right-Wing Group,467
Red Guard,468
Red Resistance Front,469
Idealist Association,470
Secret Anti-Communist Army (ESA),471
United Popular Action Front (FAPU),472
National Union for the Total Independence of Angola (UNITA),473
Proletarian Combatants for Communism,474
Muslims,475
People's Armed Revolutionary Branch,476
New Jewish Defense League,477
Communist Attack Brigades,478
Farabundo Marti National Liberation Front (FMLN),479
People's Temple,480
Lebanese Free Will Movement,481
Guerrillas,482
International Mercenary Brigade,483
Right Wing Christian extremists,484
ATALA,485
Workers' Self-Defense Movement (MAO),486
New Armenian Resistance,487
Terrorists,488
Armed Anti-Imperialist Movement,489
Miguel Angel Cabrera Command,490
American Anticommunist Association (AAA),491
Corsican Nationalists,492
Zimbabwe Patriotic Front,493
Combatant Nucleus for Communism,494
National Defense Youth Corps,495
Combatant Communist Front,496
Basque terrorists,497
Workers' Organization for Communism,498
Spanish Basque Battalion (BBE) (rightist),499
Politico-Military Revolutionary Command,500
Cambodian National Front for National Salvation,501
People's Army (Myanmar),502
Shan State Progressive Party,503
People's Army (Nicaragua),504
Organized Comrads for Communism,505
Naga People,506
Rhodesian guerillas,507
Shia Muslim extremists,508
Guards of the Fighting Proletariat,509
Fighting Communist Unit,510
Armed Action Force (FADA),511
January 22,512
Armed Proletariat Fighting Squad,513
Save Uganda Movement,514
Autonomous Groups,515
Fighters for the Liberation of the Turkish People,516
ROSADO-SOTO Command,517
Abd al-Krim Commandos,518
Fedayeen Khalq (People's Commandos),519
Communist Party of Thailand,520
Corsican Separatists,521
Communist Territorial Unit,522
Death Squad of Organization Zero (Organizacion Cero),523
Spanish International Communist Party,524
Anti-Soviet protest group,525
Unk Iranian Guerrillas,526
Patriotic Moroccan Front,527
Subversives,528
Organized Comrades for Feminist Counter-Power,529
Karen National Union,530
Francia,531
Justice Party,532
Wild Cats,533
People's Military Organization (OMP),534
Mozambique National Resistance Movement (MNR),535
Turkish Revolutionaries,536
Autonomous Intervention Collective Against the Zionist Presence in France,537
Palestinian Students,538
Dainihon Yokuko Doshikai,539
Thai Communists,540
Eagles of the Palestinian Revolution,541
Fire Group,542
Syrian Social Nationalist Party,543
Black March,544
Policarpa Salauarpieta (Women's Command),545
Free Lebanon,546
Jewish Combat Organization,547
Extremists,548
Communist Territorial Nuclei,549
Palestine Liberation Front (PLF),550
Forqan Group,551
Meitei extremists,552
Greek Popular Resistance,553
League of French Fighters Against Jewish Occupation,554
Coordination for Revolutionary Action (CAR),555
Villagers,556
Proletarian Fighting Patrol,557
Lesotho Liberation Army (LLA),558
Left-Wing Demonstrators,559
Communist Nuclei of Counter Power,560
Popular Revolutionary Movement (Italy),561
Left-Wing Guerrillas,562
Territorial Communist Command,563
Hawaiian extremists,564
Territorial Cells for Boycotting the Elections,565
Ecology and Antinuclear Revolutionary Party (CRAE),566
Anti-Government Guerrillas,567
International Committee Against Nazism,568
Colombians,569
Pan Africanist Congress (PAC),570
The Jewish Execution with Silence,571
Mizo National Front,572
Territorial Resistance Army,573
Muslim Brotherhood,574
Serbian Nationalists,575
Radicals,576
Republican People's Party,577
Supporter of Bhutto,578
Basque Justice,579
Black Wednesday,580
Arab Separatists,581
Opponents of Regime,582
Unk (men in army uniforms with arms and gas masks),583
Autonomy-Seeking Arabs,584
Dev Sol,585
Armed Subversives,586
Popular Movement for the Liberation of Cabinda,587
Spanish National Action,588
Support for Refugees (Appui aux Refugies),589
Arab Liberation Front (ALF),590
Iraqi Communists,591
July 14 Movement,592
Sharivad 17 Tal-Al-Za'atar(Sept 17 Tal-Al-Za'atar),593
Fighting Communists,594
Organization of Avenging Palestinian Youth,595
Personnel of the National Information Center,596
Naxalites,597
Tyrolean Defense League,598
Muslim extremists,599
Colombian Guerrillas,600
Autonomous Group for Armed Action,601
Revolutionary Organization of People in Arms (ORPA),602
Honour of the Police,603
Central American Revolutionary Workers Party (PRTC),604
People's Liberation Army (India),605
Ethiopian People's Revolutionary Party,606
Martyrs revenge organization,607
Right Wing Lebanese Militiamen,608
Italian Extreme Nationalist Organization,609
Communist Fighting Front,610
Kurdish Rebels,611
Armed Forces of Popular Resistance (FARP),612
Pro-Palestinian Group,613
Separatist Arab Guerrillas,614
Revolutionary Road,615
Kurdish Marxist Separatists,616
Patriotic Liberation Front (FPL),617
Movement of the Revolutionary Left (MIR) (Bolivia),618
RIF Popular Front,619
Autonomous Anarchist Groups,620
Urban Guerrillas,621
East Side Action Committee,622
Union of the Peoples of the Arabian Peninsula,623
Barzani Guerrillas,624
Mob,625
Spanish Armed Group,626
Ukrainian nationalists,627
Proletarian Division for the Army of Communist Liberation,628
February 28 Popular League (El Salvador),629
Muslim Liberation Front,630
Anti-Marxist Commando,631
Maoists,632
Counter-revolutionaries,633
The Great Serpent,634
Commando 15th October,635
Communist Hunters Command (CCC),636
People's Path,637
Unione di u Populu Corsu (UPC),638
Union Du People Corse,639
French Liberation Front,640
Neo-Fascists,641
Organization for the Liberation of France from Jewish Occupation,642
Party of National Conciliation,643
May 15 Organization for the Liberation of Palestine,644
Sons of the South (Shiite Muslim Group),645
Black American Moslems,646
Autonomy (Italy),647
Action Squad,648
Tunisian Armed Resistance,649
Catalonian Resistance,650
Front for the Liberation of Lebanon from Foreigners,651
Peasant Militants,652
Separatists,653
Autonomous Revolutionary Brigade,654
East Timorese extremists,655
Revolutionary Student Brigade,656
Left-Wing Workers,657
Sandinistas,658
15th of September Liberation Legion,659
Qaddafi loyalists,660
National Independent Committee for Political Prisoners and Persecuted and Missing Persons,661
Right-Wing Death Squad,662
Student Revolutionary Front (FER),663
Proletarian communist commandos,664
Revolutionary Action Groups,665
Afghans,666
Territorial Anti-Fascist Patrols,667
28 February Armed Group,668
Liga Agraria Campesina,669
Fighters of the People,670
Anti-Fascist Territorial Group,671
Action Directe,672
Arab Youth Group (Militant),673
Mali students,674
Iparretarrak (IK),675
Khmer Serei Guerrillas,676
Quebec Separatists,677
Iraqi Mujahideen,678
Group Yuri Choukewitch,679
Gunmen,680
Communist Patrols for Counter Power,681
Grupo Estrella,682
Libyan Students,683
Organizacion Democratica Nacionalista (ORDEN),684
Communist Attack Units,685
Armed People,686
Amal,687
Jamaica Labor Party,688
Right Wing Vigilantes,689
National Liberation Movement Party,690
Territorial Armed Groups for Communism,691
Self-Defense Against All Authority,692
Right-Wing National Youth Front,693
Armed Groups of Organised Proletariat,694
Militant Zionist Resistance Movement,695
Spanish Falange,696
Anti-Communist Commando of the South,697
Red June,698
Kabul Government Agents,699
Popular Forces of April 25,700
Arab Liberation Army,701
Guatemalan Communist Party,702
Right-Wing Militants,703
Commandos,704
Comrades Organized in Partisan Nuclei,705
Joint Palestinian leftist organization,706
Israeli settlers,707
Working People's Alliance (WPA),708
Jordanian Masses Organization,709
Autonomous Anti-Capitalist Commandos (CAA),710
Bolivian Socialist Falange,711
Workers of the Company,712
Revolutionary Coordination of the Masses,713
Communist Anti-Nuclear Front,714
Secessionists,715
Al-Da'wah Party,716
Revolutionary Forces for the Liberation of Iraq,717
Organization of Volunteers for the Puerto Rican Revolution,718
Egyptian Revolutionary Organization,719
Guardsmen of Islam,720
Ex-Somoza National Guard,721
Popular Anti-Communist Militias,722
Somoza Sympathizers,723
Anti-Communist Patriotic Front,724
Iraqi extremists,725
Revolutionary Committee for Counter Force,726
Worldwide Organization of Native Taiwanese,727
Somozists,728
Organization for Purging the Majlis (Parliament),729
Sham 'unite,730
Committee for the Safeguard of the Islamic Revolution,731
Fedayeen,732
People's Revolutionary Union,733
April 6th Liberation Movement,734
Free Revolutionaries Movement-The Giants,735
Patria Nueva (New Country),736
Malaysian Communist Party,737
Dev Yol,738
Maximiliano Hernandez Martinez Brigade,739
National Liberation Army (El Salvador),740
Revolutionary Popular Left,741
Armed Group for the Liberation of Guadeloupe (GLAG),742
Democratic Revolutionary Front (FDR),743
Bloque Anti-Guerrillero de Oriente (BAGO),744
Forces of the Struggling Ranks,745
Pro-Iraqi Terrorists,746
Armenian Organization for Armed Struggle,747
Revolutionary Nationalist Movement,748
Abu Hassan,749
Martyr Abu Ja'far Group,750
Rightist supporters of Democratic Alliance,751
Iraqi Strugglers' Movement,752
Gaddafi loyalists,753
Lorenzo Zelaya Revolutionary Front (LZRF),754
Tyrol Separatists,755
October Third Movement,756
Revolutionary Fighting Group 80,757
Youths,758
International Movement of the Prolitariat,759
Ukrainian Liberation Front,760
Italian Combatents for Alto Adige,761
Extreme Right Commando Brigade,762
Wit Kommando,763
Hatikvah Leumi or National Hope,764
Croatian Liberation Army,765
October-80,766
Puerto Rican Armed Resistance,767
Alliance of Revolutionary Cuban Organizations,768
Extortionists,769
Afghan Rebels,770
Guadeloupe Liberation Army,771
Italians Attacking Policies of the Regional  SVP,772
Prisoner's Action Force,773
Territorial Patrols of Anti-Fascist Vigilance,774
Unified Kurdish Socialist Party,775
Somali Salvation Front (SSF),776
Guadeloupe Separatists,777
Scottish Socialist Republican League,778
Ninth of June Organization,779
MILPAS Contras,780
Political Activists,781
Cinchoneros Popular Liberation Movement,782
Armenian Guerrillas,783
Anti-Immigrant extremists,784
Syrian Terror,785
Arab Revolution/Liberation Vanguard Organization,786
Uganda Freedom Movement (UFM),787
Vincente Mecha Revolutionary Christians,788
Mexican Students,789
Autonomous Resistance,790
Three Stars Autonomous Commando,791
Revolutionary Communist Youth Brigade (RCYB),792
Budget for the Popular Prep or Death,793
GP II,794
Martyrs of La Talanguera,795
German Speaking Separatists,796
The Armed Secret Organization,797
Left wing activists,798
Martyr Ali Nasir group,799
Popular Militia (Chile),800
Syrians,801
P.R.E.,802
Al-Zulfikar,803
The United Southern Front,804
Dissidents linked to Zanga,805
Carlos Echeverria commando group,806
French Basque Nationalists,807
Komando Jihad (Indonesian),808
Anti-AF,809
Popular Resistance Army (PRA),810
Insurgents,811
Imperial Iranian Patriotic Organization,812
31 January People's Front (FP-31),813
Commando Delta,814
Uganda National Liberation Front (UNLF),815
Extreme Right-wing Socialist Phalange,816
Pessach Group,817
Movement of the Third Reich,818
Grey Wolves,819
Patriotic Union of Kurdistan (PUK),820
International Proletarian Groups,821
Terra Lliure,822
Right-wing Terrorists,823
Turks,824
People's Brigade For A Healthy Genetic Future,825
Awami League,826
South African Liberation Support Cadre (SALSC),827
Revolutionary Anti-Capitalist Initiative,828
Kurds,829
Student Front of the People,830
Revolutionary Communist Armed Nuclei,831
Rebels,832
Seaborne Moslem Raiders,833
19th of July Christian Resistance Brigade,834
Kuna Indians,835
Libyan,836
Jewish Defenders,837
Basque Country Autonomous Self-Defense Group,838
People's Liberation Movement,839
Guerrilla Commando of the people,840
Albanian extremists,841
Kamal Udwan Unit of Palestinians,842
Central African National Liberation Movement,843
Workers Brigade for Communism,844
Kurdish guerrillas,845
Anti-Communist Viets Organization,846
Democratic Party,847
"Aghwar ""Fire War"" Group",848
Basque Separatists,849
Arab Steadfastness Front,850
Blue Archer Group,851
Independent Albanian Movement,852
Azadejan (Liberation),853
Dissident,854
National Salvation Forces Organization,855
Black Brigade (United States),856
Thunder of Zion,857
Gang,858
Iranian Revolution Organization,859
Communist Nuclear,860
Orly Organization,861
Marxists,862
Croatians,863
Sikh Extremists,864
Egyptian Islamic Jihad (Al-Jihad),865
Dark Harvest,866
Nicaraguan Counter Revolutionaries (group unk),867
Nicaraguans protesting their government,868
Communist Group of Proletarian Internationalism,869
Militant Welsh,870
Welsh nationalists,871
Nicaraguan Democratic Anti-Communist Movement,872
Croatian Revolutionary Cell-Bruno Busic Dept,873
Lebanese Armed Revolutionary Faction (LARF),874
Survivors of Golfech,875
Extreme Left,876
Bande des Rats (the rat pack) Ukranian Group,877
Mercenaries,878
Contras,879
Revolutionary Armed Forces of Nicaragua (FARN),880
Iraqi Liberation Army,881
Roque Dalton Commando,882
Front Line Armed Nuclei (FLAN),883
Pacifist and Ecologist Committee,884
Juan Rayo Guerilla Group,885
MNR of the Left,886
Karen Insurgents,887
Antonia Martinez Student Commandos (AMSC),888
Death to Kidnappers (MAS),889
The Eradication of Evil,890
Iconoclastic Nihilists,891
4 August National Organization,892
Congolese Armed Patriotic Group,893
Muslim Commando (Iraqi revolutionary brothers),894
Village League,895
Rabbi Rahane Group,896
Kurdish Oppositionists,897
Arab Socialist Union Members,898
Al-Aqsa-Group,899
Peykar,900
Lebanese Arab Army,901
Provisional Coordinating Committee for the Defense of Labor,902
Robin Garcia Student Front,903
World Punishment Organization,904
"Anti Somoza Gp, name unk",905
Free Nasserite Revolutionaries,906
Army of God,907
Tamils,908
Revolutionary Labor Commandos,909
Mozambican Rebels,910
Communist Front for Counterpower,911
Armenian Red Army,912
Supporters of Joshua Nkomo,913
Independent Nasserite Movement,914
Vietnamese Organization to Exterminate Communists and Restore the Nation,915
Movement of Islamic Action of Iraq,916
Polish Revolutionary Home Army,917
League of Communists,918
Black Lebanon,919
Iraqi Democratic Front,920
Akali Dal Party,921
Christian Group for the Respect for Life,922
Hungarian exile,923
Autonomy (Greece),924
Khomeini loyalists,925
Armed Commandos of Student Self Defense,926
Animal Rights Militia,927
Anti-Nuclear extremists,928
Druzes,929
Sunni Muslim extremists,930
United Jewish Underground,931
Militia Members,932
Autonomy Front,933
Hector Rio De Brigade,934
Jewish Terror,935
Corsican Revolutionary Brigade,936
Lebanese National Resistance Front,937
Civic Guard,938
Armed Struggle Organization,939
Grupo Armado de Liberacion Argentina (GALA),940
Martyrs of Saad Sayel,941
Posse Comitatus,942
Mon Insurgents,943
Scottish Nationalists,944
Hezbollah,945
People's Revolutionary Organization- Colombia (ORP),946
All India Sikh Students Federation (AISSF),947
2 April Group,948
Nicaraguan Democratic Force (FDN),949
Misurasata Indian Organization,950
Polish,951
Revolutionary Solidarity,952
Ruminahui Front,953
Somali Salvation Democratic Front (SSDF),954
Democratic Revolutionary Alliance (ARDE),955
Red Brigades Fighting Communist Party (BR-PCC),956
Jordanian Revolutionary and Military Committee (MOUAB),957
Group for Martyred Isam as-Sartawi,958
Caribbean Revolutionary Alliance (ARC),959
Liberation Front of Southern Sudan,960
Basque guerrillas,961
Northern Epirus Liberation Front (MAVI),962
Opposition Militants,963
Scottish National Liberation Army,964
"Senki (""Battle Flag"")",965
Revolutionary Front for National Liberation,966
Nicaraguan  Revolutionary Armed Force,967
Jamaat-al-Fuqra,968
Artigas-Giachino Command,969
